Career Cluster,School District,High School,HS Course Name,HS Course Credits,HS Course Description,Type of Credit,HS Course CIP Code,College,College Course,College Course Name,College Credits,College Course Description,Applicable College Program,College Course CIP Code,Academic Years,Status of Articulation,Articulation,High School Teacher Name,Consortium Name
Manufacturing,Skagit Valley,Darrington High School,Flight Technology -  AMT 148,1.0,"Introduces basic flight theory, aircraft systems, and aviation electricity. Ideal for students interested in careers in aviation, aerospace engineering, or piloting.",CTE Dual Credit,490102,Skagit Valley College,AMT 148,AMT General Electricity,4.0,"Covers electrical theory and application in aviation, including circuit analysis, AC/DC systems, aircraft electrical components, and FAA regulations.",Multi-Occupational Trades,49.0101,2025-2026,Active,Flight Technology - AMT 148,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Darrington High School,Animation III (III & IV Both Required),1.0,"Students continue developing advanced animation projects using industry-standard software. Focus is placed on storytelling, motion graphics, sound design, and preparing work for professional portfolios.",CTE Dual Credit,110803,Skagit Valley College,3D (DMA 226),Digital Game Design DMA 226,3.0,"Introduces the principles of video game design, including storytelling, user experience, level design, and prototyping using digital tools and game engines.",Computer Science,11.0201,2025-2027,Active,Animation,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Darrington High School,Programming w/ Java (year-long),3.0,"Teaches students the fundamentals of object-oriented programming using Java. Topics include data structures, algorithms, and interactive application development.",Running Start,110201,Skagit Valley College,IT 101,Introduction to IT 101,5.0,"Covers fundamental programming concepts using C#, along with an overview of information technology systems, software, and network basics.",Data Management and Analytics,11.0201,2024-2025,Active,Computer Science - Java (IT 101),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Sedro-Woolley High School,Mobile Game Development,1.0,"Covers the design and development of games for mobile platforms. Students explore user interface design, animation, and coding using industry-relevant tools and languages.",CiHS,110204,Skagit Valley College,DEV 101,Introduction to DEV 110,5.0,"Combines the logic of C# programming with the creative process of 3D modeling, introducing students to interactive applications and design workflows.",Computer Science,11.0201,2025-2027,Pending,Mobile Game Development,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Arlington High School,Yearbook 1,1.0,"Students learn the fundamentals of journalism, layout design, photography, and publication software while producing the school’s yearbook. Emphasizes collaboration, deadlines, and storytelling.",Running Start,100201,Skagit Valley College,DSGN 121,Vector Illustration DSGN 121,5.0,"Focuses on creating scalable graphics using vector illustration software, emphasizing design principles, typography, and professional workflow techniques.",Visual Arts,50.0102,2024-2027,Active,Yearbook 1 (DSGN 121),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Sedro-Woolley High School,Marine Technology - Marine Applied Math (MT 102),1.0,"Applies math concepts to marine environments, including navigation, vessel performance, and mechanical systems. Ideal for students pursuing maritime careers.",CTE Dual Credit,270301,Skagit Valley College,MT 102,Marine Applied Mathematics (MT 102),3.0,"Applies mathematical concepts to marine and nautical contexts, including navigation, trigonometry, and marine electronics calculations.",Mathematics,27.0399,2024-2025,Active,Marine Tech - Applied Math (MT 102),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Arlington High School,Landscape Design - AGHRT 110,1.0,"Introduces landscape design principles including plant selection, site analysis, and landscape planning. Students create design projects using hand-drawing and digital tools.",Running Start,10605,Bellingham Technical College,AGHRT 110,Fall Landscape Plant Materials,4.0,"Covers identification and use of ornamental plants for fall landscaping, including plant selection, seasonal care, and aesthetic planning.",Earth Science,40.0509,2024-2025,Pending,Landscape Design - AGHRT 110,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Bellingham,Sedro-Woolley High School,Bio Medical Sciences,1.0,"Explores human biology, medical research, and health sciences through hands-on labs and investigations. Prepares students for advanced coursework or careers in health care.",CTE Dual Enrollment,260102,Bellingham Technical College,AH 110,Human Body in Health and Disease AH 110,3.0,"Introduces human anatomy and physiology with an overview of common diseases and disorders, focusing on health maintenance and preventive care.",Nursing,51.3808,2024-2025,Pending,Bio Medical Science,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Ferndale High School,Publications,1.0,"Students produce digital or print publications such as school newspapers, blogs, or literary journals. Emphasizes writing, editing, graphic design, and media literacy.",CiHS,111004,Bellingham Technical College,BTECH 252,Desktop Publishing,5.0,"Teaches digital layout and design using publishing software to create newsletters, brochures, and other professional documents.",Multimedia And Interactive Technology,50.0102,2025-2027,Active,Publications,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Glacier Peak High School,Intro to Computer Hardware - CS 104,3.0,"Introduces computer hardware components and operating system functionality. Covers troubleshooting, system maintenance, and hands-on lab activities.",CTE Dual Enrollment,110201,Bellingham Technical College,CS 103,Intro to Hdw & OpSys CS 103,5.0,"Explores computer hardware components, operating system fundamentals, system configuration, and troubleshooting techniques.",Computer Science,11.0201,2025-2026,Active,CS 103-Intro to Computer Hardware & Operating Systems,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Glacier Peak High School,Cybersecurity A [Cybersecurity Fundamentals],1.0,"Covers essential cybersecurity principles such as digital threats, firewalls, encryption, and ethical hacking. Students learn to identify vulnerabilities and protect computer systems.",Running Start,110201,Bellingham Technical College,NOS 110,Cybersecurity Fundamentals,5.0,"Covers essential cybersecurity principles, including threat identification, network protection, ethical hacking, and security best practices.",Computer Science,11.0201,2025-2026,Active,Cybersecurity Fundamentals,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Bellingham,Glacier Peak High School,Family Systems,1.0,"Explores the structure, dynamics, and roles of families across cultures. Topics include communication, conflict resolution, parenting, and the impact of family on child development.",CiHS,190708,Bellingham Technical College,EDUC& 150,"Child, Family, & Development",5.0,"Examines family systems, parenting practices, and child development with a focus on cultural contexts and supportive educational environments.",Education,13.121,2023-2025,Active,Family Sociology (EDUC& 150),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Glacier Peak High School,Design Technology II A - 928203 [Intro to CAD Drafting],1.0,Teaches basic principles of computer-aided design (CAD). Students learn to create and edit 2D and 3D technical drawings used in engineering and architecture.,CiHS,151302,Bellingham Technical College,ARC 183,Introduction to CAD Drafting,5.0,"Introduces computer-aided design tools for architectural and engineering drafting, including basic commands, 2D drawing techniques, and industry standards.",Engineering,15.1301,2025-2026,Pending,Introduction to CAD Drafting,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Bellingham,Sedro-Woolley High School,Biomedical - Human Body Systems,1.0,"Students investigate body systems and how they work together to maintain health. Hands-on labs and simulations emphasize anatomy, physiology, and medical diagnostics.",CTE Dual Enrollment,260102,Bellingham Technical College,AHE 110,Medical Terminology,3.0,"Provides an understanding of medical vocabulary and healthcare terminology, paired with an overview of workplace safety protocols and regulatory standards in healthcare environments.",Nursing,51.3808,2025-2027,Active,"Biomedical - Human Body Systems (AHE 110, 120)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Bellingham,Mount Vernon High School,Baking & Desserts // Baking Intro,1.0,"Introduces baking techniques, kitchen safety, and recipe execution. Students produce a variety of breads, cakes, cookies, and pastries while learning presentation and timing skills.",CTE Dual Enrollment,120500,Bellingham Technical College,PBAK 111,Early Morning Product,3.0,"Hands-on baking course focused on producing early morning pastries, breads, and baked goods in a production-style kitchen setting.",Culinary Arts,12.0501,2023-2026,Active,PBAK 111/Baking Intro & Baking and Desserts,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Mount Vernon High School,Computer Graphics 1 or 2,1.0,"Covers digital design principles including typography, color theory, image editing, and layout using tools like Adobe Photoshop and Illustrator.",CTE Dual Enrollment,100304,Bellingham Technical College,DSGN 122,Image Editing 1,1.0,Introduces image editing and vector design techniques using industry-standard software for creating and manipulating digital graphics.,Visual Arts,50.0102,2025-2026,Pending,Graphic Design (DSGN 121 & 122),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Mount Vernon High School,Careers in Media & Entertainment 1 & 2,1.0,"Explores careers in film, music, photography, and digital media. Students learn visual storytelling, graphic design, and photo editing with Adobe Creative Suite.",CTE Dual Enrollment,100290,Bellingham Technical College,BUS 263,Photoshop BUS 263,1.0,"Focuses on digital image manipulation and enhancement using Adobe Photoshop, including layers, masks, color correction, and digital composition.",Visual Arts,50.0102,2023-2025,Pending,Audio Video Production - BUS 263,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Ferndale High School,Horticulture 1st Semester,1.0,"Introduces plant biology, greenhouse management, and landscaping practices. Students propagate and maintain plants while exploring careers in horticulture and agriculture.",CiHS,10601,Bellingham Technical College,LHO 111,Greenhouse Operations,1.0,"Covers the basics of operating and maintaining a greenhouse, including climate control, irrigation, pest management, and crop scheduling.",Earth Science,26.1201,2025-2026,Pending,Horticulture 1st semester - LHO 111,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
